title,year,doi,journal,url,categories,cited_by_count,authors,abstract
Emissions of Ultrafine Particles and Volatile Organic Compounds from Commercially Available Desktop Three-Dimensional Printers with Multiple Filaments.,2016,10.1021/acs.est.5b04983,Environmental science & technology,https://pubmed.ncbi.nlm.nih.gov/26741485/,core_emissions_measurement;materials,367,Azimi P; Zhao D; Pouzet C; Crain NE; Stephens B,
Characterization of emissions from a desktop 3D printer and indoor air measurements in office settings.,2016,10.1080/15459624.2015.1091957,Journal of occupational and environmental hygiene,https://pubmed.ncbi.nlm.nih.gov/26550911/,core_emissions_measurement;workplace_indoor_air,178,Steinle P,
Characterization of volatile organic compound emissions from consumer level material extrusion 3D printers,2019,10.1016/j.buildenv.2019.106209,Building and Environment,https://openalex.org/W2949469493,core_emissions_measurement,139,Aika Davis; Qian Zhang; Jenny P. S. Wong; Rodney J. Weber; Marilyn Black,
Airborne particle emission of a commercial 3D printer: the effect of filament material and printing temperature,2017,10.1111/ina.12310,Indoor Air,https://doi.org/10.1111/ina.12310,core_emissions_measurement;materials;workplace_indoor_air,133,L. Stabile; M. Scungio; G. Buonanno; F. Arpino; G. Ficco,
Characterization of chemical contaminants generated by a desktop fused deposition modeling 3-dimensional Printer.,2017,10.1080/15459624.2017.1302589,Journal of occupational and environmental hygiene,https://pubmed.ncbi.nlm.nih.gov/28440728/,core_emissions_measurement;health_toxicology;materials;mitigation_filtration;workplace_indoor_air,127,Stefaniak AB; LeBouf RF; Yi J; Ham J; Nurkewicz T; Schwegler-Berry DE; Chen BT; Wells JR,"ABSTRACT Printing devices are known to emit chemicals into the indoor atmosphere. Understanding factors that influence release of chemical contaminants from printers is necessary to develop effective exposure assessment and control strategies. In this study, a desktop fused deposition modeling (FDM) 3-dimensional (3-D) printer using acrylonitrile butadiene styrene (ABS) or polylactic acid (PLA) filaments and two monochrome laser printers were evaluated in a 0.5 m3 chamber. During printing, chamber air was monitored for vapors using a real-time photoionization detector (results expressed as isobutylene equivalents) to measure total volatile organic compound (TVOC) concentrations, evacuated canisters to identify specific VOCs by off-line gas chromatography-mass spectrometry (GC-MS) analysis, and liquid bubblers to identify carbonyl compounds by GC-MS. Airborne particles were collected on filters for off-line analysis using scanning electron microscopy with an energy dispersive x-ray detector to identify elemental constituents. For 3-D printing, TVOC emission rates were influenced by a printer malfunction, filament type, and to a lesser extent, by filament color; however, rates were not influenced by the number of printer nozzles used or the manufacturer's provided cover. TVOC emission rates were significantly lower for the 3-D printer (49–3552 µg h−1) compared to the laser printers (5782–7735 µg h−1). A total of 14 VOCs were identified during 3-D printing that were not present during laser printing. 3-D printed objects continued to off-gas styrene, indicating potential for continued exposure after the print job is completed. Carbonyl reaction products were likely formed from emissions of the 3-D printer, including 4-oxopentanal. Ultrafine particles generated by the 3-D printer using ABS and a laser printer contained chromium. Consideration of the factors that influenced the release of chemical contaminants (including known and suspected asthmagens such as styrene and 4-oxopentanal) from a FDM 3-D printer should be made when designing exposure assessment and control strategies."
Characterization of particulate matters and total VOC emissions from a binder jetting 3D printer,2015,10.1016/j.buildenv.2015.07.013,Building and Environment,https://openalex.org/W877299181,core_emissions_measurement,125,Nima Afshar‐Mohajer; Changyu Wu; Thomas Ladun; Didier A. Rajon; Yong Huang,
Particle emissions from fused deposition modeling 3D printers: Evaluation and meta-analysis,2018,10.1016/j.scitotenv.2018.11.070,The Science of The Total Environment,https://openalex.org/W2900987502,core_emissions_measurement;health_toxicology;materials,87,Peter Byrley; Barbara Jane George; William K. Boyes; Kim R. Rogers,"Fused deposition modeling (FDM) 3D printers, the most popular choice among home hobbyists, have been shown to release volatile organic chemicals (VOCs) and billions of airborne particles per minute, indicating the potential for consumer inhalation exposure and consequent health risks. Publications on FDM 3D printer emissions however, contain large heterogeneity of testing methods and analytical procedures making it difficult to reach overall conclusions for particle characteristics or particle number emission rates across the field. In this publication, data were collected over the printing time from 3D printer emission studies including particle count diameters (PCDs) (nanometers), particle number concentrations (PNCs) (particles/cm3), and particle number emission rates (PNERs) (particles min-1). Despite heterogeneity in methods, the majority of particles released were reported as ultrafine in size (i.e., <100 nm) indicating that using both acrylonitrile butadiene styrene (ABS) and poly-lactic acid (PLA) may present a risk of exposure to respirable particles. Mean PNC emitted in 3D printing tests ranged over several orders of magnitude across publications with overall means of 300,980 particles/cm3 for ABS and 65,482 particles/cm3 for PLA. Although mean PNC data were available from only 7 of the 16 papers reviewed, ABS resulted in greater particle numbers than PLA suggesting increased exposure to ultrafine particles. A linear mixed model was fitted for mean PNCs to further explore the impact of nozzle temperature and filament material. Finally, the PNER calculation method especially regarding losses, varied widely across studies, and directly impacted the PNERs reported. To strengthen direct comparability of results going forward, it is recommended that standard emissions testing protocols be developed for FDM 3D printers and particle influxes and losses be more uniformly calculated."
Acute health effects of desktop 3D printing (fused deposition modeling) using acrylonitrile butadiene styrene and polylactic acid materials: An experimental exposure study in human volunteers.,2018,10.1111/ina.12458,Indoor air,https://pubmed.ncbi.nlm.nih.gov/29500848/,core_emissions_measurement;health_toxicology;materials;workplace_indoor_air;resin_or_other_am,83,Gümperlein I; Fischer E; Dietrich-Gümperlein G; Karrasch S; Nowak D; Jörres RA; Schierl R,"3D printers are increasingly run at home. Nanoparticle emissions from those printers have been reported, which raises the question whether adverse health effects from ultrafine particles (UFP) can be elicited by 3D printers. We exposed 26 healthy adults in a single-blinded, randomized, cross-over design to emissions of a desktop 3D printer using fused deposition modeling (FDM) for 1 hour (high UFP-emitting acrylonitrile butadiene styrene [ABS] vs low-emitting polylactic acid [PLA]). Before and after exposures, cytokines (IL-1β, IL-6, TNF-α, INF-γ) and ECP in nasal secretions, exhaled nitric oxide (FeNO), urinary 8-isoprostaglandin F2α (8-iso PGF2α ), and self-reported symptoms were assessed. The exposures had no significant differential effect on 8-iso PGF2α and nasal biomarkers. However, there was a difference (P < .05) in the time course of FeNO, with higher levels after ABS exposure. Moreover, indisposition and odor nuisance were increased for ABS exposure. These data suggest that 1 hour of exposure to 3D printer emissions had no acute effect on inflammatory markers in nasal secretions and urine. The slight relative increase in FeNO after ABS printing compared to PLA might be due to eosinophilic inflammation from inhaled UFP particles. This possibility should be investigated in further studies using additional biomarkers and longer observation periods."
The characteristics and formation mechanisms of emissions from thermal decomposition of 3D printer polymer filaments.,2019,10.1016/j.scitotenv.2019.07.257,The Science of the total environment,https://pubmed.ncbi.nlm.nih.gov/31540002/,core_emissions_measurement;materials,63,Ding S; Ng BF; Shang X; Liu H; Lu X; Wan MP,"Ultrafine particles (UFP) and volatile organic compounds (VOC) emitted from fused deposition modelling (FDM) 3D printing have received widespread attention. Here, we characterize the formation mechanisms of emissions from polymer filaments commonly used in FDM 3D printing. The temporal relationship between the amount and species of total VOC (TVOC) at any desired operating thermal condition is obtained through a combination of evolved gas analysis (EGA) and thermogravimetric analysis (TGA) to capture physicochemical reactions, in which the furnace of EGA or TGA closely resembles the heating process of the nozzle in the FDM 3D printer. It is generally observed that emissions initiate at the start of the glass transition process and peak during liquefaction for filaments. Initial increment in emissions during liquefaction and the relatively constant decomposition of products in the liquid phase are two main TVOC formation mechanisms. More importantly, low heating rate has the potential to restrain the formation of carcinogenic monomer, styrene, from ABS. A TVOC measurement method based on weight loss is further proposed and found that TVOC mass yield was 0.03%, 0.21% and 2.14% for PLA, ABS, and PVA, respectively, at 220 °C. Among TVOC, UFP mass accounts for 1% to 5% of TVOC mass depending on the type of filaments used. Also, for the first time, emission of UFP from the nozzle is directly observed through laser imaging."
Evaluation of emissions and exposures at workplaces using desktop 3-dimensional printer.,2019,10.1016/j.jchas.2018.11.001,Journal of chemical health & safety,https://pubmed.ncbi.nlm.nih.gov/31798757/,core_emissions_measurement;health_toxicology;materials;workplace_indoor_air,62,Stefaniak AB; Johnson AR; du Preez S; Hammond DR; Wells JR; Ham JE; LeBouf RF; Menchaca KW,
